"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1067 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",507 
"",3. TOTAL VALID VOTES POLLED ,"","",842247 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 2210 ,AVERAGE ,ELECTORS PER POLLING S,TATION 767 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-19-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC M,adan Lal Shar,ma ,382305 
"",RUNER-UP BJP Li,la Karan Sharm,a ,260932 
"",MARGIN 121373 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :1 
"",Constituency :Chikkodi ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,17 ,1 ,18 
"",2. NOMINATION REJECTED ,6 ,0 ,6 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,6 ,1 ,7 
"",5. FORFEITED DEPOSIT ,4 ,1 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,655747 ,623085 ,1278832 
"",2. SERVICE ,4066 ,1529 ,5595 
"",3. TOTAL ,659813 ,624614 ,1284427 
"",III.VOTERS ,"","",""
"",1. GENERAL ,456535 ,410587 ,867122 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",680 
"",4. TOTAL ,"","",867802 
"",III(A). POLLING PERCENTAGE 67.56 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",481 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",867321 
"",4. TENDERED VOTES ,"","",20 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1408 ,AVERAGE ,ELECTORS PER POLLING S,TATION 908 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP Ka,tti Ramesh Vi,shwanath ,438081 
"",RUNER-UP INC Pr,akash Babann,a Hukkeri ,382794 
"",MARGIN 55287 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :2 
"",Constituency :Belgaum ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,11 ,2 ,13 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,2 ,1 ,3 
"",4. CONTESTED ,9 ,1 ,10 
"",5. FORFEITED DEPOSIT ,7 ,1 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,696522 ,677167 ,1373689 
"",2. SERVICE ,3534 ,1015 ,4549 
"",3. TOTAL ,700056 ,678182 ,1378238 
"",III.VOTERS ,"","",""
"",1. GENERAL ,405542 ,348037 ,753579 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",982 
"",4. TOTAL ,"","",754561 
"",III(A). POLLING PERCENTAGE 54.75 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1248 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",753313 
"",4. TENDERED VOTES ,"","",1 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1470 ,AVERAGE ,ELECTORS PER POLLING S,TATION 934 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP An,gadi Suresh C,hannabasappa ,384324 
"",RUNER-UP INC Am,arsinh Vasan,trao Patil ,265637 
"",MARGIN 118687 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :3 
"",Constituency :Bagalkot ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,24 ,0 ,24 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,17 ,0 ,17 
"",5. FORFEITED DEPOSIT ,15 ,0 ,15 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,684392 ,676414 ,1360806 
"",2. SERVICE ,1947 ,606 ,2553 
"",3. TOTAL ,686339 ,677020 ,1363359 
"",III.VOTERS ,"","",""
"",1. GENERAL ,451012 ,408947 ,859959 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",170 
"",4. TOTAL ,"","",860129 
"",III(A). POLLING PERCENTAGE 63.09 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",122 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",201 
"",3. TOTAL VALID VOTES POLLED ,"","",859806 
"",4. TENDERED VOTES ,"","",43 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1503 ,AVERAGE ,ELECTORS PER POLLING S,TATION 905 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP G,addigoudar P.,C. ,413272 
"",RUNER-UP INC J.,T.Patil ,"",377826 
"",MARGIN 35446 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :4 
"",Constituency :Bijapur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,1 ,15 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,9 ,1 ,10 
"",5. FORFEITED DEPOSIT ,7 ,1 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,710127 ,662561 ,1372688 
"",2. SERVICE ,695 ,221 ,916 
"",3. TOTAL ,710822 ,662782 ,1373604 
"",III.VOTERS ,"","",""
"",1. GENERAL ,355571 ,294028 ,649599 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",32 
"",4. TOTAL ,"","",649631 
"",III(A). POLLING PERCENTAGE 47.29 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",40 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",649591 
"",4. TENDERED VOTES ,"","",14 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1466 ,AVERAGE ,ELECTORS PER POLLING S,TATION 936 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP R,amesh Chanda,ppa Jigajinagi ,308939 
"",RUNER-UP INC Pr,akash Kubasi,ng Rathod ,266535 
"",MARGIN 42404 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :5 
"",Constituency :Gulbarga ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,15 ,1 ,16 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,777894 ,765585 ,1543479 
"",2. SERVICE ,208 ,84 ,292 
"",3. TOTAL ,778102 ,765669 ,1543771 
"",III.VOTERS ,"","",""
"",1. GENERAL ,398102 ,361300 ,759402 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",291 
"",4. TOTAL ,"","",759693 
"",III(A). POLLING PERCENTAGE 49.21 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",195 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",308 
"",3. TOTAL VALID VOTES POLLED ,"","",759190 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1663 ,AVERAGE ,ELECTORS PER POLLING S,TATION 928 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC M,allikarjun Khar,ge ,345241 
"",RUNER-UP BJP R,evunaik Belam,gi ,331837 
"",MARGIN 13404 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :6 
"",Constituency :Raichur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,13 ,0 ,13 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,8 ,0 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,738898 ,747222 ,1486120 
"",2. SERVICE ,148 ,58 ,206 
"",3. TOTAL ,739046 ,747280 ,1486326 
"",III.VOTERS ,"","",""
"",1. GENERAL ,364055 ,318226 ,682281 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",208 
"",4. TOTAL ,"","",682489 
"",III(A). POLLING PERCENTAGE 45.92 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",84 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",225 
"",3. TOTAL VALID VOTES POLLED ,"","",682180 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1630 ,AVERAGE ,ELECTORS PER POLLING S,TATION 912 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP Pa,kkirappa.S. ,"",316450 
"",RUNER-UP INC R,aja Venkatapp,a Naik ,285814 
"",MARGIN 30636 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :7 
"",Constituency :Bidar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,48 ,0 ,48 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,18 ,0 ,18 
"",4. CONTESTED ,27 ,0 ,27 
"",5. FORFEITED DEPOSIT ,25 ,0 ,25 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,759513 ,709975 ,1469488 
"",2. SERVICE ,699 ,320 ,1019 
"",3. TOTAL ,760212 ,710295 ,1470507 
"",III.VOTERS ,"","",""
"",1. GENERAL ,408137 ,370989 ,779126 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",115 
"",4. TOTAL ,"","",779241 
"",III(A). POLLING PERCENTAGE 52.99 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",100 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",779141 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1571 ,AVERAGE ,ELECTORS PER POLLING S,TATION 935 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC N,.Dharam Singh,"",337957 
"",RUNER-UP BJP G,urupadappa N,agmarpalli ,298338 
"",MARGIN 39619 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :8 
"",Constituency :Koppal ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,20 ,2 ,22 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,16 ,2 ,18 
"",5. FORFEITED DEPOSIT ,13 ,2 ,15 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,678580 ,684524 ,1363104 
"",2. SERVICE ,245 ,82 ,327 
"",3. TOTAL ,678825 ,684606 ,1363431 
"",III.VOTERS ,"","",""
"",1. GENERAL ,444028 ,311123 ,755151 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",175 
"",4. TOTAL ,"","",755326 
"",III(A). POLLING PERCENTAGE 55.40 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",56 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",642 
"",3. TOTAL VALID VOTES POLLED ,"","",754628 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1589 ,AVERAGE ,ELECTORS PER POLLING S,TATION 858 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP Sh,ivaramagoud,a Shivanagouda ,291693 
"",RUNER-UP INC Ba,savaraj Raya,reddy ,209904 
"",MARGIN 81789 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :9 
"",Constituency :Bellary ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,1 ,9 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,6 ,1 ,7 
"",5. FORFEITED DEPOSIT ,5 ,0 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,706624 ,694383 ,1401007 
"",2. SERVICE ,175 ,76 ,251 
"",3. TOTAL ,706799 ,694459 ,1401258 
"",III.VOTERS ,"","",""
"",1. GENERAL ,446585 ,414202 ,860787 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",82 
"",4. TOTAL ,"","",860869 
"",III(A). POLLING PERCENTAGE 61.44 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",3 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",860866 
"",4. TENDERED VOTES ,"","",12 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1589 ,AVERAGE ,ELECTORS PER POLLING S,TATION 882 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP J., Shantha ,"",402213 
"",RUNER-UP INC N,.Y. Hanumanth,appa ,399970 
"",MARGIN 2243 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :10 
"",Constituency :Haveri ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,23 ,0 ,23 
"",2. NOMINATION REJECTED ,7 ,0 ,7 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,12 ,0 ,12 
"",5. FORFEITED DEPOSIT ,10 ,0 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,713270 ,657448 ,1370718 
"",2. SERVICE ,805 ,240 ,1045 
"",3. TOTAL ,714075 ,657688 ,1371763 
"",III.VOTERS ,"","",""
"",1. GENERAL ,473355 ,398553 ,871908 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",333 
"",4. TOTAL ,"","",872241 
"",III(A). POLLING PERCENTAGE 63.59 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",312 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",871929 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1605 ,AVERAGE ,ELECTORS PER POLLING S,TATION 854 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP U,dasi Shivkuma,r Chanabasappa ,430293 
"",RUNER-UP INC Sa,leem Ahamed,"",342373 
"",MARGIN 87920 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :11 
"",Constituency :Dharwad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,33 ,0 ,33 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,14 ,0 ,14 
"",4. CONTESTED ,16 ,0 ,16 
"",5. FORFEITED DEPOSIT ,14 ,0 ,14 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,722462 ,688284 ,1410746 
"",2. SERVICE ,607 ,147 ,754 
"",3. TOTAL ,723069 ,688431 ,1411500 
"",III.VOTERS ,"","",""
"",1. GENERAL ,435915 ,361937 ,797852 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",362 
"",4. TOTAL ,"","",798214 
"",III(A). POLLING PERCENTAGE 56.55 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",80 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",798134 
"",4. TENDERED VOTES ,"","",10 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1455 ,AVERAGE ,ELECTORS PER POLLING S,TATION 970 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP Pr,alhad Joshi ,"",446786 
"",RUNER-UP INC Ku,nnur Manjuna,th Channappa ,309123 
"",MARGIN 137663 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :12 
"",Constituency :Uttara Kannada ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,13 ,1 ,14 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,10 ,1 ,11 
"",5. FORFEITED DEPOSIT ,9 ,0 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,658723 ,624228 ,1282951 
"",2. SERVICE ,2807 ,798 ,3605 
"",3. TOTAL ,661530 ,625026 ,1286556 
"",III.VOTERS ,"","",""
"",1. GENERAL ,404343 ,355409 ,759752 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",523 
"",4. TOTAL ,"","",760275 
"",III(A). POLLING PERCENTAGE 59.09 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",251 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",760024 
"",4. TENDERED VOTES ,"","",12 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1639 ,AVERAGE ,ELECTORS PER POLLING S,TATION 783 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP An,antkumar Heg,de ,339300 
"",RUNER-UP INC Al,va Margaret ,"",316531 
"",MARGIN 22769 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :13 
"",Constituency :Davanagere ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,37 ,0 ,37 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,7 ,0 ,7 
"",4. CONTESTED ,28 ,0 ,28 
"",5. FORFEITED DEPOSIT ,26 ,0 ,26 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,690762 ,653839 ,1344601 
"",2. SERVICE ,272 ,47 ,319 
"",3. TOTAL ,691034 ,653886 ,1344920 
"",III.VOTERS ,"","",""
"",1. GENERAL ,483112 ,424135 ,907247 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",30 
"",4. TOTAL ,"","",907277 
"",III(A). POLLING PERCENTAGE 67.46 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",26 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",907251 
"",4. TENDERED VOTES ,"","",40 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1655 ,AVERAGE ,ELECTORS PER POLLING S,TATION 812 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP G,.M. Siddeswar,a ,423447 
"",RUNER-UP INC S.,S. Mallikarjun,a ,421423 
"",MARGIN 2024 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :14 
"",Constituency :Shimoga ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,17 ,0 ,17 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,12 ,0 ,12 
"",5. FORFEITED DEPOSIT ,10 ,0 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,714655 ,720444 ,1435099 
"",2. SERVICE ,617 ,192 ,809 
"",3. TOTAL ,715272 ,720636 ,1435908 
"",III.VOTERS ,"","",""
"",1. GENERAL ,485666 ,468306 ,953972 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",435 
"",4. TOTAL ,"","",954407 
"",III(A). POLLING PERCENTAGE 66.47 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",90 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",954317 
"",4. TENDERED VOTES ,"","",41 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1705 ,AVERAGE ,ELECTORS PER POLLING S,TATION 842 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP B.,Y. Raghavend,ra ,482783 
"",RUNER-UP INC S., Bangarappa ,"",429890 
"",MARGIN 52893 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :15 
"",Constituency :Udupi Chikmagalur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,11 ,1 ,12 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,8 ,1 ,9 
"",5. FORFEITED DEPOSIT ,6 ,1 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,594257 ,629393 ,1223650 
"",2. SERVICE ,508 ,177 ,685 
"",3. TOTAL ,594765 ,629570 ,1224335 
"",III.VOTERS ,"","",""
"",1. GENERAL ,414409 ,419946 ,834355 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",936 
"",4. TOTAL ,"","",835291 
"",III(A). POLLING PERCENTAGE 68.22 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",16 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",563 
"",3. TOTAL VALID VOTES POLLED ,"","",834712 
"",4. TENDERED VOTES ,"","",24 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1586 ,AVERAGE ,ELECTORS PER POLLING S,TATION 772 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP D,.V.Sadananda, Gowda ,401441 
"",RUNER-UP INC K.,Jayaprakash H,egde ,374423 
"",MARGIN 27018 ,"","",""


